0.001	0.5
4.971310000000000784e+00 4.500000000000000000e+00 -1.000000000000000000e+00
5.019000000000000128e+00 2.000000000000000000e+00 -1.000000000000000000e+00
5.480450000000000266e+00 5.000000000000000000e+00 0.000000000000000000e+00
5.063620000000000232e+00 2.000000000000000000e+00 -2.500000000000000000e-01
5.474800000000000111e+00 4.000000000000000000e+00 -1.000000000000000000e+00
6.441550000000000331e+00 4.000000000000000000e+00 -1.000000000000000000e+00
5.499959999999999738e+00 3.500000000000000000e+00 2.500000000000000000e-01
4.984199999999999520e+00 4.500000000000000000e+00 -2.500000000000000000e-01
6.503670000000000506e+00 4.000000000000000000e+00 -1.500000000000000000e+00
3.996260000000000367e+00 2.500000000000000000e+00 -2.000000000000000000e+00
5.535750000000000171e+00 5.000000000000000000e+00 -5.000000000000000000e-01
5.044140000000000512e+00 3.500000000000000000e+00 -1.000000000000000000e+00
4.478489999999999860e+00 5.000000000000000000e+00 2.500000000000000000e-01
7.003000000000000114e+00 4.500000000000000000e+00 -2.500000000000000000e-01
4.496669999999999945e+00 2.000000000000000000e+00 -1.000000000000000000e+00
4.968529999999999447e+00 3.500000000000000000e+00 2.500000000000000000e-01
4.440549999999999997e+00 5.000000000000000000e+00 -2.000000000000000000e+00
6.449699999999999989e+00 4.000000000000000000e+00 2.500000000000000000e-01
5.575120000000000076e+00 3.500000000000000000e+00 -2.500000000000000000e-01
4.567379999999999995e+00 2.000000000000000000e+00 -2.000000000000000000e+00
4.972649999999999793e+00 3.500000000000000000e+00 -5.000000000000000000e-01
4.062780000000000058e+00 1.500000000000000000e+00 -5.000000000000000000e-01
5.497399999999999842e+00 4.000000000000000000e+00 0.000000000000000000e+00
4.031679999999999708e+00 2.000000000000000000e+00 2.500000000000000000e-01
4.971109999999999474e+00 5.000000000000000000e+00 -1.000000000000000000e+00
5.957689999999999486e+00 4.500000000000000000e+00 -5.000000000000000000e-01
4.961750000000000327e+00 4.500000000000000000e+00 -2.000000000000000000e+00
4.546859999999999680e+00 1.500000000000000000e+00 -1.000000000000000000e+00
6.007609999999999673e+00 4.500000000000000000e+00 -2.500000000000000000e-01
5.475310000000000343e+00 5.000000000000000000e+00 -2.000000000000000000e+00
6.018080000000000318e+00 4.000000000000000000e+00 -2.000000000000000000e+00
4.513770000000000948e+00 4.000000000000000000e+00 0.000000000000000000e+00
4.948459999999999859e+00 3.000000000000000000e+00 2.500000000000000000e-01
4.509199999999999875e+00 5.000000000000000000e+00 -1.000000000000000000e+00
4.491999999999999993e+00 4.500000000000000000e+00 -1.000000000000000000e+00
6.499649999999999928e+00 4.000000000000000000e+00 -2.500000000000000000e-01
6.487820000000000142e+00 4.500000000000000000e+00 -1.000000000000000000e+00
5.038129999999999775e+00 5.000000000000000000e+00 -1.500000000000000000e+00
6.433489999999999931e+00 4.000000000000000000e+00 -5.000000000000000000e-01
4.517529999999999824e+00 4.500000000000000000e+00 0.000000000000000000e+00
4.950169999999999959e+00 5.000000000000000000e+00 -2.500000000000000000e-01
5.030710000000000015e+00 2.500000000000000000e+00 -2.000000000000000000e+00
4.963799999999999990e+00 5.000000000000000000e+00 0.000000000000000000e+00
4.954180000000000028e+00 4.500000000000000000e+00 -5.000000000000000000e-01
5.510260000000000602e+00 4.500000000000000000e+00 0.000000000000000000e+00
4.046699999999999520e+00 2.000000000000000000e+00 -1.000000000000000000e+00
5.500329999999999941e+00 4.500000000000000000e+00 -5.000000000000000000e-01
4.555029999999999468e+00 5.000000000000000000e+00 -1.500000000000000000e+00
7.052130000000000010e+00 4.500000000000000000e+00 -1.000000000000000000e+00
5.465180000000000149e+00 3.000000000000000000e+00 0.000000000000000000e+00
3.977040000000000131e+00 2.500000000000000000e+00 -2.500000000000000000e-01
6.028819999999999624e+00 3.500000000000000000e+00 -2.500000000000000000e-01
5.560229999999999784e+00 3.500000000000000000e+00 0.000000000000000000e+00
5.508510000000000240e+00 3.000000000000000000e+00 -5.000000000000000000e-01
5.076660000000000394e+00 4.500000000000000000e+00 -1.500000000000000000e+00
4.997460000000000235e+00 3.500000000000000000e+00 -2.500000000000000000e-01
4.549649999999999750e+00 1.500000000000000000e+00 -5.000000000000000000e-01
